country,income,health,population,continent
Guatemala,7279,73.1,16342897,North America
Guinea,1225,60.8,12608590,Africa
Guinea-Bissau,1386,53.4,1844325,Africa
Guyana,6816,64.4,767085,South America
Haiti,1710,65.3,10711067,North America
Honduras,4270,72.4,8075060,North America
Hungary,24200,76.2,9855023,Europe
Iceland,42182,82.8,329425,Europe
India,5903,66.8,1311050527,Asia
Indonesia,10504,70.9,257563815,Asia
Iran,15573,78.5,79109272,Asia
Iraq,14646,72.1,36423395,Asia
Ireland,47758,80.4,4688465,Europe
Israel,31590,82.4,8064036,Asia
Italy,33297,82.1,59797685,Europe
Jamaica,8606,75.5,2793335,North America
Japan,36162,83.5,126573481,Asia
Jordan,11752,78.3,7594547,Asia
Kazakhstan,23468,68.2,17625226,Asia
Kenya,2898,66.63,46050302,Africa
Kiribati,1824,62.4,112423,Oceania
Kuwait,82633,80.7,3892115,Asia
Kyrgyz Republic,3245,69,5939962,Asia
Lao,5212,66.4,6802023,Asia
Latvia,23282,75.7,1970503,Europe
Lebanon,17050,78.5,5850743,Asia
Lesotho,2598,48.5,2135022,Africa
Liberia,958,63.9,4503438,Africa
Libya,17261,76.2,6278438,Africa
Lithuania,26665,75.4,2878405,Europe
Luxembourg,88314,81.1,567110,Europe
"Macedonia, FYR",12547,77,2078453,Europe
Madagascar,1400,64.7,24235390,Africa
Malawi,799,60.22,17215232,Africa
Malaysia,24320,75.1,30331007,Asia
Maldives,14408,79.5,363657,Asia
Mali,1684,57.6,17599694,Africa
Malta,30265,82.1,418670,Europe
Marshall Islands,3661,65.1,52993,Oceania
Mauritania,3877,65.7,4067564,Africa
Mauritius,18350,73.9,1273212,Africa
Mexico,16850,74.5,127017224,North America
"Micronesia, Fed. Sts.",3510,67,104460,Oceania
Moldova,4896,72.7,4068897,Europe
Mongolia,11819,65.3,2959134,Asia
Montenegro,14833,75.8,625781,Europe
Morocco,7319,74.7,34377511,Africa
Mozambique,1176,56.4,27977863,Africa
Myanmar,4012,67.9,53897154,Asia
Namibia,10040,61,2458830,Africa
Nepal,2352,71.2,28513700,Asia
Netherlands,45784,80.6,16924929,Europe
New Zealand,34186,80.6,4528526,Oceania
Nicaragua,4712,76.8,6082032,North America
Niger,943,62.2,19899120,Africa
Nigeria,5727,61.33,182201962,Africa
North Korea,1390,71.4,25155317,Asia
Norway,64304,81.6,5210967,Europe
Oman,48226,75.7,4490541,Asia
Pakistan,4743,66.5,188924874,Asia
Panama,20485,78.2,3929141,North America
Papua New Guinea,2529,60.6,7619321,Oceania
Paraguay,8219,73.9,6639123,South America
Peru,11903,77.5,31376670,South America
Philippines,6876,70.2,100699395,Asia
Poland,24787,77.3,38611794,Europe
Portugal,26437,79.8,10349803,Europe
Qatar,132877,82,2235355,Asia
Romania,19203,76.8,19511324,Europe
Russia,23038,73.13,143456918,Africa
Rwanda,1549,66.53,11609666,Africa
Samoa,5558,72.2,193228,Oceania
Sao Tome and Principe,3003,68.8,190344,Africa
Saudi Arabia,52469,78.1,31540372,Asia
Senegal,2251,66.1,15129273,Africa
Serbia,12908,78.1,8850975,Europe
Seychelles,25684,73.7,96471,Africa
Sierra Leone,2085,58.5,6453184,Africa
Singapore,80794,82.1,5603740,Asia
Slovak Republic,27204,76.4,5426258,Europe
Slovenia,28550,80.2,2067526,Europe
Solomon Islands,2047,64.1,583591,Oceania
Somalia,624,58.7,10787104,Africa
South Africa,12509,63.72,54490406,Africa
South Korea,34644,80.7,50293439,Asia
South Sudan,3047,58,12339812,Africa
Spain,32979,81.7,46121699,Europe
Sri Lanka,10624,76.5,20715010,Asia
St. Lucia,9997,74.5,184999,North America
St. Vincent and the Grenadines,10435,72.9,109462,North America
Sudan,3975,69.5,40234882,Africa
Suriname,17125,70.5,542975,South America
Swaziland,6095,51.5,1286970,Africa
Sweden,44892,82,9779426,Europe
Switzerland,56118,82.9,8298663,Europe
Syria,4637,70.26,18502413,Asia
Tajikistan,2582,71,8481855,Asia
Tanzania,2571,63.43,53470420,Africa
Thailand,14512,75.1,67959359,Asia
Timor-Leste,2086,72.4,1184765,Asia
Togo,1433,64.23,7304578,Africa
Tonga,5069,70.5,106170,Oceania
Trinidad and Tobago,30113,71.4,1360088,North America
Tunisia,11126,77.3,11253554,Africa
Turkey,19360,76.5,78665830,Asia
Turkmenistan,15865,67.9,5373502,Asia
Uganda,1680,60.8,39032383,Africa
Ukraine,8449,72.1,44823765,Europe
United Arab Emirates,60749,76.6,9156963,Asia
United Kingdom,38225,81.4,64715810,Europe
United States,53354,79.1,321773631,North America
Uruguay,20438,77.3,3431555,South America
Uzbekistan,5598,70.1,29893488,Asia
Vanuatu,2912,65,264652,Oceania
Venezuela,15753,75.8,31108083,South America
Vietnam,5623,76.5,93447601,Asia
West Bank and Gaza,4319,75.2,4668466,Asia
Yemen,3887,67.6,26832215,Asia
Zambia,4034,58.96,16211767,Africa
Zimbabwe,1801,60.01,15602751,Africa
